Domaine,Specialite,Expertise,Complexite,Tps_Tot,Tps_Xplr,Tps_Xplo,Tps_RI,SW2a,SW2b,Docs,TG_Tot,FOFG,FOFD,SAE,Eleve
HIST,4EME,novice,TI,5.828846397,4.784449675,5.499915852,5.576390882,6.0,0.0,4.5,0.009488671,,,41,celine4
HIST,4EME,novice,TI,5.494592148,4.799202656,5.157527785,5.31534783,4.5,0.0,4.0,0.020873413,,,44,Elsaa4a
HIST,4EME,novice,TI,5.298182567,4.612910949,4.863501301,5.057064825,3.0,0.0,3.0,0.041079009,,,38,emilie2
HIST,4EME,novice,TI,5.969607621,5.123817353,5.726418286,5.823220164,9.0,0.0,7.5,0.007510031,,,39,EMMA24C
HIST,4EME,novice,TI,5.920793043,4.902886364,5.722077126,5.783393269,5.5,0.5,4.5,0.005689107,,,45,JULIEN4
HIST,4EME,novice,TI,5.623571789,4.746260452,4.966195723,5.171034248,2.0,0.0,2.0,0.010809467,,,43,LAHCUPE
HIST,4EME,novice,TI,5.876525261,5.331916994,5.460341469,5.701889054,8.5,1.0,5.0,0.003464643,,,38,LOU4C
HIST,4EME,novice,TI,5.707639998,4.521249259,5.509831323,5.552274496,3.5,0.0,3.0,0.012365984,,,41,nina4b
HIST,4EME,novice,TI,5.748473327,4.685105501,5.563006781,5.617031286,6.0,1.5,6.0,0.005470452,,,35,SAM4C
HIST,4EME,novice,TI,5.901587991,5.352422761,5.630428384,5.81433085,8.0,0.5,6.5,0.007025753,,,45,VIRG4C
HIST,3EME,expert,TI,5.735651587,5.265169365,5.451873899,5.669508411,9.5,2.5,7.0,0.014131429,,,19,ALE3A
HIST,3EME,expert,TI,5.850205898,5.438841268,5.546949008,5.797280355,9.5,1.5,6.5,0.011353009,,,45,ALI3C
HIST,3EME,expert,TI,5.690650522,5.206226622,5.438230557,5.638570118,5.5,1.0,4.5,0.014582414,,,33,ANAEL3A
HIST,3EME,expert,TI,5.603482687,4.173055086,5.321731991,5.351525755,4.0,0.0,3.0,0.019069004,,,45,Anna3B
HIST,3EME,expert,TI,5.648596125,4.717183521,5.247568227,5.359790913,6.5,1.0,4.0,0.022619956,,,45,CHLOE23
HIST,3EME,expert,TI,5.780766139,5.432225064,5.432510716,5.733397909,6.0,0.5,5.0,0.014775741,,,39,EMM23A
HIST,3EME,expert,TI,5.649750453,5.286790932,5.273618111,5.581284459,6.0,0.5,4.0,0.021303055,,,49,FAT23C
HIST,3EME,expert,TI,5.718265378,5.070986733,5.369575764,5.546482204,6.0,2.0,4.0,0.017079857,,,49,LIS3B
HIST,3EME,expert,TI,5.727465208,5.221982492,5.428257935,5.638283542,7.0,3.0,4.0,0.014921142,,,44,LUC3A
HIST,3EME,expert,TI,5.72354679,5.145589487,5.472226784,5.639948926,10.0,2.5,4.5,0.010113337,,,41,MAE23A
HIST,3EME,expert,TI,5.691495688,5.294688828,5.362838586,5.631129096,8.5,2.5,5.5,0.017346881,,,40,MAR3B
HIST,3EME,expert,TI,5.44475814,4.296270198,5.193832534,5.245602725,3.0,0.0,3.0,0.025599263,,,42,MAT3B
HIST,3EME,expert,TI,5.623929669,5.022236546,5.145777356,5.389415068,4.0,0.0,2.5,0.028594508,,,37,MATT3B
HIST,3EME,expert,TI,5.8982753,5.038850559,5.572796117,5.684210505,5.0,0.5,4.5,0.010697046,,,39,MEL3B
HIST,3EME,expert,TI,5.808333882,5.157727174,5.587300604,5.724623166,4.0,0.0,3.5,0.010345688,,,42,NICO3A
HIST,3EME,expert,TI,5.764755055,5.112462559,5.551704888,5.686427561,7.0,1.0,5.0,0.011229363,,,46,NICO3B
HIST,3EME,expert,TI,5.79589322,5.29157973,5.357308669,5.62671649,9.0,2.5,6.0,0.017569173,,,47,ROM3B
HIST,3EME,expert,TI,5.688106002,4.986471654,5.423167202,5.558570582,5.0,0.0,4.5,0.015097074,,,43,SAC3B
HIST,3EME,expert,TI,5.923897042,5.453231167,5.650822639,5.864198597,15.0,2.5,11.0,0.006703454,,,47,STE3A
HIST,3EME,expert,TI,5.967795472,5.161397953,5.828089914,5.912820195,6.5,0.0,7.0,0.005942512,,,44,TOM3A
